service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20240609,20240615
2,1,1,1,1,1,1,1,20240609,20240615
3,1,1,1,1,1,1,1,20240609,20240615
4,1,1,1,1,1,1,1,20240609,20240615
5,1,1,1,1,1,1,1,20240609,20240615
6,1,1,1,1,1,1,1,20240609,20240615
7,1,1,1,1,1,1,1,20240609,20240615
8,1,1,1,1,1,1,1,20240609,20240615
9,1,1,1,1,1,1,1,20240609,20240615
10,1,1,1,1,1,1,1,20240609,20240615
11,1,1,1,1,1,1,1,20240609,20240615
12,1,1,1,1,1,1,1,20240609,20240615
13,1,1,1,1,1,1,1,20240609,20240615
14,1,1,1,1,1,1,1,20240609,20240615
15,1,1,1,1,1,1,1,20240609,20240615
16,1,1,1,1,1,1,1,20240609,20240615
17,1,1,1,1,1,1,1,20240609,20240615
18,1,1,1,1,1,1,1,20240609,20240615
19,1,1,1,1,1,1,1,20240609,20240615
20,1,1,1,1,1,1,1,20240609,20240615
21,1,1,1,1,1,1,1,20240609,20240615
22,1,1,1,1,1,1,1,20240609,20240615
23,1,1,1,1,1,1,1,20240609,20240615
24,1,1,1,1,1,1,1,20240609,20240615
25,1,1,1,1,1,1,1,20240609,20240615
26,1,1,1,1,1,1,1,20240609,20240615
27,1,1,1,1,1,1,1,20240609,20240615
28,1,1,1,1,1,1,1,20240609,20240615
29,1,1,1,1,1,1,1,20240609,20240615
30,1,1,1,1,1,1,1,20240609,20240615
31,1,1,1,1,1,1,1,20240609,20240615
32,1,1,1,1,1,1,1,20240609,20240615
33,1,1,1,1,1,1,1,20240609,20240615
34,1,1,1,1,1,1,1,20240609,20240615
35,1,1,1,1,1,1,1,20240609,20240615
36,1,1,1,1,1,1,1,20240609,20240615
37,1,1,1,1,1,1,1,20240609,20240615
38,1,1,1,1,1,1,1,20240609,20240615
39,1,1,1,1,1,1,1,20240609,20240615
40,1,1,1,1,1,1,1,20240609,20240615
41,1,1,1,1,1,1,1,20240609,20240615
42,1,1,1,1,1,1,1,20240609,20240615
43,1,1,1,1,1,1,1,20240609,20240615
44,1,1,1,1,1,1,1,20240609,20240615
45,1,1,1,1,1,1,1,20240609,20240615
46,1,1,1,1,1,1,1,20240609,20240615
47,1,1,1,1,1,1,1,20240609,20240615
48,1,1,1,1,1,1,1,20240609,20240615
49,1,1,1,1,1,1,1,20240609,20240615
50,1,1,1,1,1,1,1,20240609,20240615
51,1,1,1,1,1,1,1,20240609,20240615
52,1,1,1,1,1,1,1,20240609,20240615
53,1,1,1,1,1,1,1,20240609,20240615
54,1,1,1,1,1,1,1,20240609,20240615
55,1,1,1,1,1,1,1,20240609,20240615
56,1,1,1,1,1,1,1,20240609,20240615
57,1,1,1,1,1,1,1,20240609,20240615
58,1,1,1,1,1,1,1,20240609,20240615
59,1,1,1,1,1,1,1,20240609,20240615
60,1,1,1,1,1,1,1,20240609,20240615
61,1,1,1,1,1,1,1,20240609,20240615
62,1,1,1,1,1,1,1,20240609,20240615
63,1,1,1,1,1,1,1,20240609,20240615
64,1,1,1,1,1,1,1,20240609,20240615
65,1,1,1,1,1,1,1,20240609,20240615
66,1,1,1,1,1,1,1,20240609,20240615
67,1,1,1,1,1,1,1,20240609,20240615
68,1,1,1,1,1,1,1,20240609,20240615
69,1,1,1,1,1,1,1,20240609,20240615
70,1,1,1,1,1,1,1,20240609,20240615
71,1,1,1,1,1,1,1,20240609,20240615
72,1,1,1,1,1,1,1,20240609,20240615
73,1,1,1,1,1,1,1,20240609,20240615
74,1,1,1,1,1,1,1,20240609,20240615
75,1,1,1,1,1,1,1,20240609,20240615
76,1,1,1,1,1,1,1,20240609,20240615
77,1,1,1,1,1,1,1,20240609,20240615
78,1,1,1,1,1,1,1,20240609,20240615
79,1,1,1,1,1,1,1,20240609,20240615
80,1,1,1,1,1,1,1,20240609,20240615
81,1,1,1,1,1,1,1,20240609,20240615
82,1,1,1,1,1,1,1,20240609,20240615
83,1,1,1,1,1,1,1,20240609,20240615
84,1,1,1,1,1,1,1,20240609,20240615
85,1,1,1,1,1,1,1,20240609,20240615
86,1,1,1,1,1,1,1,20240609,20240615
87,1,1,1,1,1,1,1,20240609,20240615
88,1,1,1,1,1,1,1,20240609,20240615
89,1,1,1,1,1,1,1,20240609,20240615
90,1,1,1,1,1,1,1,20240609,20240615
91,1,1,1,1,1,1,1,20240609,20240615
92,1,1,1,1,1,1,1,20240609,20240615
93,1,1,1,1,1,1,1,20240609,20240615
94,1,1,1,1,1,1,1,20240609,20240615
95,1,1,1,1,1,1,1,20240609,20240615
96,1,1,1,1,1,1,1,20240609,20240615
97,1,1,1,1,1,1,1,20240609,20240615
98,1,1,1,1,1,1,1,20240609,20240615
99,1,1,1,1,1,1,1,20240609,20240615
100,1,1,1,1,1,1,1,20240609,20240615
101,1,1,1,1,1,1,1,20240609,20240615
