route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
244,1,1,,,1,1,1,
315,2,2,,,0,2,2,
161,3,3,,,0,3,3,
233,4,4,,,1,4,4,
167,5,5,,,1,5,5,
233,6,6,,,1,6,4,
316,7,7,,,1,7,6,
307,8,8,,,1,8,7,
259,9,9,,,0,9,8,
336,10,10,,,0,10,9,
237,11,11,,,1,11,10,
291,12,12,,,0,12,11,
258,13,13,,,1,13,12,
18,14,14,,,0,14,13,
167,15,15,,,1,15,5,
280,16,16,,,0,16,14,
225,17,17,,,1,17,15,
324,18,18,,,1,18,16,
325,19,19,,,1,19,17,
245,20,20,,,0,20,18,
210,21,21,,,0,21,19,
295,22,22,,,0,22,20,
307,23,23,,,1,23,7,
303,24,24,,,0,24,21,
291,25,25,,,0,25,11,
208,26,26,,,1,26,22,
320,27,27,,,0,7,23,
186,28,28,,,0,27,24,
208,29,29,,,1,26,22,
19,30,30,,,1,28,25,
318,31,31,,,0,29,26,
233,32,32,,,1,30,4,
338,33,33,,,0,31,27,
307,34,34,,,1,32,7,
249,35,35,,,0,4,28,
332,36,36,,,0,33,29,
109,37,37,,,0,34,30,
185,38,38,,,1,35,31,
332,39,39,,,0,36,29,
295,40,40,,,0,16,20,
307,41,41,,,1,32,7,
332,42,42,,,0,37,29,
314,43,43,,,1,2,32,
144,44,44,,,0,38,33,
324,45,45,,,1,18,16,
228,46,46,,,1,39,34,
290,47,47,,,1,40,35,
303,48,48,,,0,41,21,
23,49,49,,,1,42,36,
233,50,50,,,1,43,4,
267,51,51,,,0,44,37,
256,52,52,,,0,45,38,
290,53,53,,,1,46,35,
280,54,54,,,0,47,14,
314,55,55,,,1,48,32,
335,56,56,,,1,33,39,
325,57,57,,,1,49,17,
280,58,58,,,0,47,14,
19,59,59,,,1,47,25,
255,60,60,,,1,29,40,
307,61,61,,,1,50,7,
307,62,62,,,1,50,7,
330,63,63,,,1,51,41,
323,64,64,,,0,52,42,
23,65,65,,,1,53,36,
307,66,66,,,1,23,7,
258,67,67,,,1,54,12,
180,68,68,,,0,8,43,
249,69,69,,,0,43,28,
307,70,70,,,1,55,7,
232,71,71,,,0,48,44,
209,72,72,,,0,43,45,
335,73,73,,,1,33,39,
290,74,74,,,1,35,35,
24,75,75,,,1,56,46,
314,76,76,,,1,57,32,
337,77,77,,,1,58,47,
313,78,78,,,0,59,48,
313,79,79,,,0,29,48,
291,80,80,,,0,60,11,
280,81,81,,,0,46,14,
23,82,82,,,1,61,36,
217,83,83,,,1,62,49,
208,84,84,,,1,63,22,
259,85,85,,,0,64,8,
151,86,86,,,1,4,50,
275,87,87,,,1,28,51,
341,88,88,,,1,9,52,
167,89,89,,,1,65,5,
167,90,90,,,1,65,5,
290,91,91,,,1,66,35,
233,92,92,,,1,67,4,
19,93,93,,,1,68,25,
331,94,94,,,0,69,53,
241,95,95,,,1,70,54,
330,96,96,,,1,71,41,
228,97,97,,,1,72,34,
147,98,98,,,1,73,55,
209,99,99,,,0,63,45,
208,100,100,,,1,63,22,
232,101,101,,,0,74,44,
228,102,102,,,1,20,34,
23,103,103,,,1,42,36,
250,104,104,,,1,38,56,
255,105,105,,,1,38,40,
280,106,106,,,0,27,14,
318,107,107,,,0,29,26,
150,108,108,,,0,75,57,
271,109,109,,,1,44,58,
233,110,110,,,1,43,4,
325,111,111,,,1,76,17,
109,112,112,,,0,77,30,
240,113,113,,,1,78,59,
288,114,114,,,1,79,60,
297,115,115,,,0,80,61,
186,116,116,,,0,68,24,
315,117,117,,,0,2,2,
253,118,118,,,0,70,62,
323,119,119,,,0,81,42,
315,120,120,,,0,82,2,
299,121,121,,,0,79,63,
18,122,122,,,0,83,13,
19,123,123,,,1,84,25,
314,124,124,,,1,57,32,
233,125,125,,,1,6,4,
186,126,126,,,0,66,24,
217,127,127,,,1,62,49,
249,128,128,,,0,85,28,
161,129,129,,,0,85,3,
302,130,130,,,1,12,64,
168,131,131,,,1,86,65,
324,132,132,,,1,81,16,
147,133,133,,,1,73,55,
332,134,134,,,0,37,29,
147,135,135,,,1,4,55,
275,136,136,,,1,35,51,
233,137,137,,,1,75,4,
313,138,138,,,0,87,48,
233,139,139,,,1,4,4,
288,140,140,,,1,88,60,
255,141,141,,,1,89,40,
292,142,142,,,1,88,66,
262,143,143,,,0,13,67,
240,144,144,,,1,78,59,
208,145,145,,,1,90,22,
128,146,146,,,0,91,68,
288,147,147,,,1,92,60,
161,148,148,,,0,93,3,
249,149,149,,,0,43,28,
233,150,150,,,1,43,4,
314,151,151,,,1,94,32,
274,152,152,,,1,95,69,
255,153,153,,,1,96,40,
255,154,154,,,1,97,40,
315,155,155,,,0,48,2,
180,156,156,,,0,23,43,
284,157,157,,,0,98,70,
228,158,158,,,1,99,34,
228,159,159,,,1,100,34,
249,160,160,,,0,6,28,
292,161,161,,,1,41,66,
233,162,162,,,1,6,4,
255,163,163,,,1,94,40,
336,164,164,,,0,101,9,
280,165,165,,,0,47,14,
255,166,166,,,1,102,40,
217,167,167,,,1,21,49,
250,168,168,,,1,103,56,
304,169,169,,,1,104,71,
244,170,170,,,1,105,1,
208,171,171,,,1,4,22,
171,172,172,,,1,3,72,
284,173,173,,,0,106,70,
144,174,174,,,0,38,33,
336,175,175,,,0,39,9,
337,176,176,,,1,58,47,
262,177,177,,,0,107,67,
233,178,178,,,1,87,4,
297,179,179,,,0,108,61,
240,180,180,,,1,78,59,
22,181,181,,,0,61,73,
144,182,182,,,0,93,33,
171,183,183,,,1,15,72,
145,184,184,,,1,65,74,
326,185,185,,,0,109,75,
323,186,186,,,0,18,42,
242,187,187,,,1,30,76,
307,188,188,,,1,32,7,
180,189,189,,,0,110,43,
250,190,190,,,1,70,56,
311,191,191,,,0,59,77,
19,192,192,,,1,84,25,
323,193,193,,,0,52,42,
337,194,194,,,1,72,47,
299,195,195,,,0,79,63,
275,196,196,,,1,47,51,
151,197,197,,,1,93,50,
259,198,198,,,0,9,8,
337,199,199,,,1,104,47,
280,200,200,,,0,111,14,
268,201,201,,,1,87,78,
242,202,202,,,1,93,76,
324,203,203,,,1,18,16,
297,204,204,,,0,112,61,
151,205,205,,,1,97,50,
341,206,206,,,1,113,52,
245,207,207,,,0,20,18,
127,208,208,,,1,3,79,
233,209,209,,,1,59,4,
331,210,210,,,0,69,53,
250,211,211,,,1,4,56,
114,212,212,,,1,77,80,
293,213,213,,,0,51,81,
22,214,214,,,0,42,73,
318,215,215,,,0,89,26,
299,216,216,,,0,41,63,
250,217,217,,,1,30,56,
253,218,218,,,0,70,62,
167,219,219,,,1,3,5,
297,220,220,,,0,114,61,
258,221,221,,,1,115,12,
232,222,222,,,0,74,44,
326,223,223,,,0,116,75,
339,224,224,,,1,117,82,
185,225,225,,,1,118,31,
18,226,226,,,0,119,13,
209,227,227,,,0,26,45,
311,228,228,,,0,120,77,
249,229,229,,,0,85,28,
284,230,230,,,0,98,70,
295,231,231,,,0,22,20,
114,232,232,,,1,34,80,
167,233,233,,,1,5,5,
19,234,234,,,1,28,25,
322,235,235,,,1,121,83,
251,236,236,,,0,122,84,
313,237,237,,,0,96,48,
240,238,238,,,1,74,59,
171,239,239,,,1,67,72,
185,240,240,,,1,46,31,
255,241,241,,,1,120,40,
325,242,242,,,1,116,17,
288,243,243,,,1,12,60,
290,244,244,,,1,16,35,
338,245,245,,,0,117,27,
237,246,246,,,1,123,10,
161,247,247,,,0,15,3,
228,248,248,,,1,100,34,
249,249,249,,,0,6,28,
315,250,250,,,0,48,2,
128,251,251,,,0,38,68,
290,252,252,,,1,27,35,
275,253,253,,,1,47,51,
208,254,254,,,1,63,22,
259,255,255,,,0,113,8,
284,256,256,,,0,95,70,
280,257,257,,,0,68,14,
295,258,258,,,0,124,20,
208,259,259,,,1,4,22,
255,260,260,,,1,102,40,
314,261,261,,,1,48,32,
274,262,262,,,1,95,69,
232,263,263,,,0,105,44,
295,264,264,,,0,22,20,
19,265,265,,,1,119,25,
209,266,266,,,0,90,45,
31,267,267,,,1,125,85,
161,268,268,,,0,93,3,
109,269,269,,,0,34,30,
161,270,270,,,0,78,3,
249,271,271,,,0,6,28,
318,272,272,,,0,102,26,
288,273,273,,,1,92,60,
288,274,274,,,1,126,60,
330,275,275,,,1,127,41,
330,276,276,,,1,71,41,
253,277,277,,,0,38,62,
209,278,278,,,0,26,45,
244,279,279,,,1,1,1,
180,280,280,,,0,23,43,
167,281,281,,,1,15,5,
224,282,282,,,0,128,86,
256,283,283,,,0,129,38,
325,284,284,,,1,109,17,
225,285,285,,,1,130,15,
233,286,286,,,1,43,4,
288,287,287,,,1,79,60,
208,288,288,,,1,26,22,
292,289,289,,,1,12,66,
258,290,290,,,1,13,12,
147,291,291,,,1,91,55,
147,292,292,,,1,73,55,
242,293,293,,,1,67,76,
335,294,294,,,1,131,39,
275,295,295,,,1,68,51,
18,296,296,,,0,119,13,
19,297,297,,,1,84,25,
209,298,298,,,0,63,45,
249,299,299,,,0,6,28,
24,300,300,,,1,132,46,
280,301,301,,,0,28,14,
303,302,302,,,0,126,21,
68,303,303,,,1,133,87,
109,304,304,,,0,77,30,
167,305,305,,,1,3,5,
341,306,306,,,1,64,52,
245,307,307,,,0,100,18,
324,308,308,,,1,52,16,
315,309,309,,,0,94,2,
145,310,310,,,1,75,74,
168,311,311,,,1,134,65,
210,312,312,,,0,135,19,
249,313,313,,,0,30,28,
250,314,314,,,1,103,56,
217,315,315,,,1,21,49,
275,316,316,,,1,40,51,
18,317,317,,,0,22,13,
180,318,318,,,0,118,43,
144,319,319,,,0,6,33,
316,320,320,,,1,136,6,
24,321,321,,,1,137,46,
160,322,322,,,0,138,88,
337,323,323,,,1,139,47,
128,324,324,,,0,94,68,
161,325,325,,,0,73,3,
147,326,326,,,1,73,55,
209,327,327,,,0,140,45,
208,328,328,,,1,90,22,
336,329,329,,,0,72,9,
307,330,330,,,1,141,7,
292,331,331,,,1,92,66,
256,332,332,,,0,142,38,
292,333,333,,,1,24,66,
303,334,334,,,0,12,21,
313,335,335,,,0,59,48,
302,336,336,,,1,24,64,
244,337,337,,,1,74,1,
210,338,338,,,0,62,19,
151,339,339,,,1,30,50,
180,340,340,,,0,23,43,
167,341,341,,,1,15,5,
127,342,342,,,1,143,79,
320,343,343,,,0,126,23,
171,344,344,,,1,93,72,
242,345,345,,,1,67,76,
150,346,346,,,0,65,57,
314,347,347,,,1,57,32,
217,348,348,,,1,21,49,
321,349,349,,,0,121,89,
225,350,350,,,1,142,15,
23,351,351,,,1,144,36,
18,352,352,,,0,84,13,
318,353,353,,,0,120,26,
337,354,354,,,1,139,47,
209,355,355,,,0,90,45,
290,356,356,,,1,68,35,
318,357,357,,,0,102,26,
291,358,358,,,0,145,11,
297,359,359,,,0,108,61,
233,360,360,,,1,59,4,
249,361,361,,,0,67,28,
180,362,362,,,0,50,43,
293,363,363,,,0,71,81,
249,364,364,,,0,43,28,
109,365,365,,,0,34,30,
280,366,366,,,0,14,14,
